clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
3326,"MATERIALES RADIACTIVOS, OBJETOS CONTAMINADOS EN LA SUPERFICIE (OCS-I u OCS- II), FISIONABLES",7,,Radiactivos.
3327,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO A, FISIONABLES, no en forma especial",7,,Radiactivos.
3328,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO B(U), FISIONABLES",7,,Radiactivos.
3329,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO B(M), FISIONABLES",7,,Radiactivos.
3330,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO C, FISIONABLES",7,,Radiactivos.
3331,"MATERIALES RADIACTIVOS, TRANSPORTADOS EN VIRTUD DE ARREGLOS ESPECIALES, FISIONABLES",7,,Radiactivos.
3332,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO A, EN FORMA ESPECIAL, no fisionables o fisionables exceptuados",7,,Radiactivos.
3333,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO A, EN FORMA ESPECIAL, FISIONABLES",7,,Radiactivos.
3334,"LÍQUIDO REGULADO PARA AVIACIÓN, N.E.P.",9,,Radiactivos.
3335,"SÓLIDO REGULADO PARA AVIACIÓN, N.E.P.",9,,Radiactivos.
3336,"MERCAPTANOS, LÍQUIDOS, INFLAMABLES, N.E.P., o MERCAPTANOS EN MEZCLA, LÍQUIDA, INFLAMABLE, N.E.P.",3,,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3337,GAS REFRIGERANTE R 404A,2.2,,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3338,GAS REFRIGERANTE R 407A,2.2,,Líquidos inflamables.
3339,GAS REFRIGERANTE R 407B,2.2,,
3340,GAS REFRIGERANTE R 407C,2.2,,
3341,DIÓXIDO DE TIOUREA,4.2,,
3342,XANTATOS,4.2,,
3343,"NITROGLICERINA EN MEZCLA, DESENSIBILIZADA, LÍQUIDA, INFLAMABLE, N.E.P., con un máximo del 30%, en masa, de nitroglicerina",3,,
3344,"TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE), EN MEZCLA, DESENSIBILIZADO, SÓLIDO, N.E.P., con más del 10% pero no más del 20%, en masa, de TNPE",4.1,,Solidos inflamables de reacción espontanea.
3345,"PLAGUICIDA DERIVADO DEL ÁCIDO FENOXIACÉTICO, SÓLIDO, TÓXICO",6.1,,Líquidos inflamables.
3346,"PLAGUICIDA DERIVADO DEL ÁCIDO FENOXIACÉTICO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3347,"PLAGUICIDA DERIVADO DEL ÁCIDO FENOXIACÉTICO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación igual o superior a 23°C",6.1,3,Tóxicos
3348,"PLAGUICIDA DERIVADO DEL ÁCIDO FENOXIACÉTICO, LÍQUIDO, TÓXICO",6.1,,Líquidos inflamables.
3349,"PLAGUICIDA PIRETROIDEO, SÓLIDO, TÓXICO",6.1,,Tóxicos
3350,"PLAGUICIDA PIRETROIDEO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Tóxicos
3351,"PLAGUICIDA PIRETROIDEO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23°C",6.1,3,Tóxicos
3352,"PLAGUICIDA PIRETROIDEO, LÍQUIDO, TÓXICO",6.1,,Líquidos inflamables.
3354,"GAS INSECTICIDA, INFLAMABLE, N.E.P.",2.1,,Tóxicos
3355,"GAS INSECTICIDA, TÓXICO, INFLAMABLE, N.E.P.",2.3,2.1,Tóxicos
3356,GENERADOR QUÍMICO DE OXÍGENO,5.1,,Gases inflamables.
3357,"NITROGLICERINA EN MEZCLA, DESENSIBILIZADA, LÍQUIDA, N.E.P., con un máximo del 30%, en masa, de nitroglicerina",3,,Gases tóxicos.
3358,"MÁQUINAS REFRIGERADORAS que contienen gas licuado inflamable, no tóxico",2.1,,
3359,UNIDAD DE TRANSPORTE SOMETIDA A FUMIGACIÓN,9,,Líquidos inflamables.
3360,"FIBRAS DE ORIGEN VEGETAL, SECAS",4.1,,
3361,"CLOROSILANOS TÓXICOS CORROSIVOS, N.E.P",6.1,8,
3362,"CLOROSILANOS TÓXICOS CORROSIVOS INFLAMABLES, N.E.P.",6.1,3\n8,
3363,MERCANCÍAS PELIGROSAS EN LOS ARTÍCULOS o MERCANCÍAS PELIGROSAS EN MAQUINARIA o MERCANCÍAS PELIGROSAS EN APARATOS,9,,Tóxicos
3364,"TRINITROFENOL (ÁCIDO PÍCRICO) UMIDIFICADO1 con un mínimo del 10%, en masa, de agua",4.1,,Tóxicos
3365,"TRINITROCLOROBENCENO (CLORURO DE PICRILO) HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3366,"TRINITROTOLUENO (TNT) HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3367,"TRINITROBENCENO HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3368,"ÁCIDO TRINITROBENZOICO HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3369,"DINITRO-o-CRESOLATO DE SODIO HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3370,"NITRATO DE UREA HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
3371,2-METILBUTANAL,3,,
3373,"SUBSTANCIA BIOLÓGICA, CATEGORÍA B",6.2,,
3374,ACETILENO EXENTO DE DISOLVENTE,2.1,,
3375,"NITRATO DE AMONIO, EN EMULSIÓN, EN SUSPENSIÓN o GEL, explosivos intermediarios para voladuras",5.1,,Agentes infecciosos.
3376,"4-NITROFENILHIDRAZINA con un mínimo del 30%, en masa, de agua",4.1,,
3377,PERBORATO DE SODIO MONOHIDRATADO,5.1,,
3378,CARBONATO DE SODIO PEROXIHIDRATADO,5.1,,
3379,"EXPLOSIVO DESENSIBILIZADO, LÍQUIDO, N.E.P.",3,,
3380,"EXPLOSIVO DESENSIBILIZADO, SÓLIDO, N.E.P.",4.1,,
3381,"LÍQUIDO TÓXICO POR INHALACIÓN, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración saturada de vapor superior o igual a 500 CL50",6.1,,Líquidos inflamables.
3382,"LÍQUIDO TÓXICO POR INHALACIÓN, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración saturada de vapor superior o igual a 10 CL50",6.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3383,"LÍQUIDO TÓXICO POR INHALACIÓN, INFLAMABLE, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,3,Tóxicos
3384,"LÍQUIDO TÓXICO POR INHALACIÓN, INFLAMABLE, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,3,Tóxicos
3385,"LÍQUIDO TÓXICO POR INHALACIÓN, HIDRORREACTIVO, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,4.3,Tóxicos
3386,"LÍQUIDO TÓXICO POR INHALACIÓN, HIDRORREACTIVO, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,4.3,Tóxicos
3387,"LÍQUIDO TÓXICO POR INHALACIÓN, COMBURENTE, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,5.1,Tóxicos
3388,"LÍQUIDO TÓXICO POR INHALACIÓN, COMBURENTE, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,5.1,Tóxicos
3389,"LÍQUIDO TÓXICO POR INHALACIÓN, CORROSIVO, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,8,Tóxicos
3390,"LÍQUIDO TÓXICO POR INHALACIÓN, CORROSIVO, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,8,Tóxicos
3391,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, PIROFÓRICA",4.2,,Tóxicos
3392,"SUBSTANCIA ORGANOMETÁLICA, LÍQUIDA, PIROFÓRICA",4.2,,Tóxicos
3393,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, PIROFÓRICA, HIDRORREACTIVA",4.2,4.3,Solidos inflamables de reacción espontanea.
3394,"SUBSTANCIA ORGANOMETÁLICA, LÍQUIDA, PIROFÓRICA, HIDRORREACTIVA",4.2,4.3,Solidos inflamables de reacción espontanea.
3395,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, HIDRORREACTIVA",4.3,,Solidos inflamables de reacción espontanea.
3396,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, HIDRORREACTIVA, INFLAMABLE",4.3,4.1,Solidos inflamables de reacción espontanea.
3397,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, HIDRORREACTIVA, QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO",4.3,4.2,Substancias que en contacto con el agua desprenden gases inflamables.
3398,"SUBSTANCIA ORGANOMETÁLICA, LÍQUIDA, HIDRORREACTIVA",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
3399,"SUBSTANCIA ORGANOMETÁLICA, LÍQUIDA, HIDRORREACTIVA, INFLAMABLE",4.3,3,Substancias que en contacto con el agua desprenden gases inflamables.
3400,"SUBSTANCIA ORGANOMETÁLICA, SÓLIDA, QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO",4.2,,Substancias que en contacto con el agua desprenden gases inflamables.
3401,"METALES ALCALINOS, AMALGAMA SÓLIDA DE",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
3402,"METALES ALCALINOTÉRREOS, AMALGAMA SÓLIDA DE",4.3,,Solidos inflamables de reacción espontanea.
3403,"POTASIO, ALEACIONES METÁLICAS SÓLIDAS DE",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
3404,"POTASIO Y SODIO, ALEACIONES SÓLIDAS DE",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
3405,CLORATO DE BARIO EN SOLUCIÓN,5.1,6.1,
3406,PERCLORATO DE BARIO EN SOLUCIÓN,5.1,6.1,
3407,"CLORATO Y CLORURO DE MAGNESIO EN SOLUCIÓN, MEZCLA DE",5.1,,
3408,PERCLORATO DE PLOMO EN SOLUCIÓN,5.1,6.1,
3409,CLORONITROBENCENOS LÍQUIDOS,6.1,,
3410,CLORHIDRATO DE 4- CLORO-o-TOLUIDINA EN SOLUCIÓN,6.1,,
3411,beta-NAFTILAMINA EN SOLUCIÓN,6.1,,
3412,"ÁCIDO FÓRMICO con un mínimo del 10% pero no más del 85%, en masa, de ácido",8,,
3413,CIANURO DE POTASIO EN SOLUCIÓN,6.1,,
3414,CIANURO DE SODIO EN SOLUCIÓN,6.1,,
3415,FLUORURO DE SODIO EN SOLUCIÓN,6.1,,
3416,CLOROACETOFENONA LÍQUIDA,6.1,,
3417,"BROMURO DE XILILO, SÓLIDO",6.1,,
3418,"TOLUILEN-2,4 -DIAMINA EN SOLUCIÓN",6.1,,
3419,"TRIFLUORURO DE BORO Y ÁCIDO ACÉTICO, COMPLEJO SÓLIDO DE",8,,
3420,"TRIFLUORURO DE BORO Y ÁCIDO PROPIÓNICO, COMPLEJO SÓLIDO DE",8,,
3421,HIDRÓGENODIFLUORURO DE POTASIO EN SOLUCIÓN,8,6.1,
3422,FLUORURO DE POTASIO EN SOLUCIÓN,6.1,,
3423,HIDRÓXIDO DE TETRAMETILAMONIO SÓLIDO,8,,
3424,DINITRO-o-CRESOLATO DE AMONIO EN SOLUCIÓN,6.1,,
3425,ÁCIDO BROMOACÉTICO SÓLIDO,8,,
3426,ACRILAMIDA EN SOLUCIÓN,6.1,,
3427,"CLORUROS DE CLOROBENCILO, SÓLIDOS",6.1,,
3428,"ISOCIANATO DE 3-CLORO- 4-METILFENILO, SÓLIDO",6.1,,
3429,CLOROTOLUIDINAS LÍQUIDAS,6.1,,
3430,XILENOLES LÍQUIDOS,6.1,,
3431,NITROBENZOTRIFLUORURO S SÓLIDOS,6.1,,
3432,DIFENILOS POLICLORADOS SÓLIDOS,9,,
3434,NITROCRESOLES LÍQUIDOS,6.1,,
3436,"HIDRATO DE HEXAFLUOROACETONA, SÓLIDO",6.1,,
3437,CLOROCRESOLES SÓLIDOS,6.1,,
3438,ALCOHOL alfa- METILBENCÍLICO SÓLIDO,6.1,,
3439,"NITRILOS SÓLIDOS TÓXICOS, N.E.P.",6.1,,
3440,"SELENIO, COMPUESTO DE, LÍQUIDO, N.E.P.",6.1,,
3441,CLORODINITROBENCENOS SÓLIDOS,6.1,,
3442,DICLOROANILINAS SÓLIDAS,6.1,,Tóxicos
3443,DINITROBENCENOS SÓLIDOS,6.1,,Tóxicos
3444,CLORHIDRATO DE NICOTINA SÓLIDO,6.1,,
3445,SULFATO DE NICOTINA SÓLIDO,6.1,,
3446,NITROTOLUENOS SÓLIDOS,6.1,,
3447,NITROXILENOS SÓLIDOS,6.1,,
3448,"GASES LACRIMÓGENOS, SUBSTANCIA SÓLIDA PARA LA FABRICACIÓN DE, N.E.P.",6.1,,
3449,CIANUROS DE BROMOBENCILO SÓLIDOS,6.1,,
3450,DIFENILCLOROARSINA SÓLIDA,6.1,,
3451,TOLUIDINAS SÓLIDAS,6.1,,Tóxicos
3452,XILIDINAS SÓLIDAS,6.1,,
3453,ÁCIDO FOSFÓRICO SÓLIDO,8,,
3454,DINITROTOLUENOS SÓLIDOS,6.1,,
3455,CRESOLES SÓLIDOS,6.1,8,
3456,ÁCIDO NITROSILSULFÚRICO SÓLIDO,8,,
3457,CLORONITROTOLUENOS SÓLIDOS,6.1,,
3458,NITROANISOLES SÓLIDOS,6.1,,
3459,NITROBROMOBENCENOS SÓLIDOS,6.1,,
3460,N-ETILBENCILTOLUIDINAS SÓLIDAS,6.1,,
3462,"TOXINAS EXTRAÍDAS DE UN MEDIO VIVO, SÓLIDAS, N.E.P.",6.1,,
3463,"ÁCIDO PROPIÓNICO con un mínimo del 90%, en masa, de ácido",8,3,
3464,"COMPUESTO ORGANOFOSFORADO SÓLIDO TÓXICO, N.E.P.",6.1,,
3465,"COMPUESTO ORGANOARSENICAL, SÓLIDO, N.E.P.",6.1,,Tóxicos
3466,"CARBONILOS METÁLICOS, SÓLIDOS, N.E.P.",6.1,,
3467,"COMPUESTO ORGANOMETÁLICO SÓLIDO TÓXICO, N.E.P.",6.1,,Tóxicos
3468,HIDRÓGENO EN UN DISPOSITIVO DE ALMACENAMIENTO CON HIDRURO METÁLICO o HIDRÓGENO EN UN DISPOSITIVO DE ALMACENAMIENTO CON HIDRURO METÁLICO INSTALADO EN UN EQUIPO o HIDRÓGENO EN UN DISPOSITIVO DE ALMACENAMIENTO CON HIDRURO METÁLICO EMBALADO CON UN EQUIPO,2.1,,Tóxicos
3469,"PINTURAS INFLAMABLES, CORROSIVAS (incluidas pinturas, lacas, esmaltes, colorantes, goma laca, barnices, bruñidores, encáusticos, apresto líquido y bases líquidas para lacas) o PRODUCTOS INFLAMABLES CORROSIVOS PARA PINTURA (incluidos disolventes y diluyentes para pinturas)",3,8,Tóxicos
3470,"PINTURAS CORROSIVAS, INFLAMABLES (incluidas pinturas, lacas, esmaltes, colorantes, goma laca, barnices, bruñidores, encáusticos, apresto líquido y bases líquidas para lacas) o PRODUCTOS CORROSIVOS INFLAMABLES PARA PINTURA (incluidos disolventes y diluyentes para pinturas)",8,3,Tóxicos
3471,"HIDROGENODIFLUORUROS EN SOLUCIÓN, N.E.P.",8,6.1,
3472,ÁCIDO CROTÓNICO LÍQUIDO,8,,
3473,"CARTUCHOS PARA PILAS DE COMBUSTIBLE o CARTUCHOS PARA PILAS DE COMBUSTIBLE INSTALADOS EN UN EQUIPO o CARTUCHOS PARA PILAS DE COMBUSTIBLE EMBALADOS CON UN EQUIPO, que contienen líquidos inflamables",3,,
3474,1-HIDROXIBENZOTRIAZOL MONOHIDRATADO,4.1,,Corrosivos.
3475,"ETANOL Y GASOLINA, MEZCLA DE, o MEZCLA DE ETANOL Y COMBUSTIBLE PARA MOTORES con más del 10% de etanol",3,,
3476,"CARTUCHOS PARA PILAS DE COMBUSTIBLE o CARTUCHOS PARA PILAS DE COMBUSTIBLE INSTALADOS EN UN EQUIPO o CARTUCHOS PARA PILAS DE COMBUSTIBLE CONTENIDOS EN UN EQUIPO, que contienen substancias que reaccionan con el agua",4.3,,
3477,"CARTUCHOS PARA PILAS DE COMBUSTIBLE o CARTUCHOS PARA PILAS DE COMBUSTIBLE INSTALADOS EN UN EQUIPO o CARTUCHOS PARA PILAS DE COMBUSTIBLE EMBALADOS CON UN EQUIPO, que contienen substancias corrosivas",8,,
3478,"CARTUCHOS PARA PILAS DE COMBUSTIBLE o CARTUCHOS PARA PILAS DE COMBUSTIBLE INSTALADOS EN UN EQUIPO o CARTUCHOS PARA PILAS DE COMBUSTIBLE EMBALADOS CON UN EQUIPO, que contienen gas licuado inflamable",2.1,,
3479,"CARTUCHOS PARA PILAS DE COMBUSTIBLE o CARTUCHOS PARA PILAS DE COMBUSTIBLE INSTALADOS EN UN EQUIPO o CARTUCHOS PARA PILAS DE COMBUSTIBLE CONTENIDOS EN UN EQUIPO, que contienen hidrógeno en un hidruro metálico",2.1,,
3480,BATERÍAS DE IÓN LITIO (incluidas las baterías poliméricas de ión litio),9,,
3481,BATERÍAS DE IÓN LITIO INSTALADAS EN UN EQUIPO o BATERÍAS DE IÓN LITIO EMBALADAS CON UN EQUIPO (incluidas las baterías poliméricas de ión litio),9,,
3482,"METALES ALCALINOS, DISPERSIÓN DE, INFLAMABLE o METALES ALCALINOTÉRREOS, DISPERSIÓN DE, INFLAMABLE",4.3,3,
3483,"MEZCLA ANTIDETONANTE PARA COMBUSTIBLES DE MOTORES, INFLAMABLE",6.1,3,
3484,"HIDRAZINA EN SOLUCIÓN ACUOSA, INFLAMABLE, con más del 37%, en masa, de hidrazina",8,3\n6.1,
3485,"HIPOCLORITO DE CALCIO SECO, CORROSIVO o HIPOCLORITO DE CALCIO EN MEZCLA SECA, CORROSIVO, con más del 39% de cloro activo (8,8% de oxígeno activo)",5.1,8,
3486,"HIPOCLORITO DE CALCIO EN MEZCLA SECA, CORROSIVO, con más del 10% pero no más del 39% de cloro activo",5.1,8,
3487,"HIPOCLORITO CÁLCICO HIDRATADO EN MEZCLA, CORROSIVO, con un mínimo del 5,5% pero no más del 16% de agua",5.1,8,
3487,"HIPOCLORITO DE CALCIO, HIDRATADO, CORROSIVO o HIPOCLORITO DE CALCIO HIDRATADO EN MEZCLA, CORROSIVO, con no menos del 5,5% pero no más del 16% de agua",5.1,8,
3488,"LÍQUIDO TÓXICO POR INHALACIÓN, INFLAMABLE, CORROSIVO, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,3\n8,
3489,"LÍQUIDO TÓXICO POR INHALACIÓN, INFLAMABLE, CORROSIVO, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,3\n8,
3490,"LÍQUIDO TÓXICO POR INHALACIÓN, HIDRORREACTIVO, INFLAMABLE, N.E.P., con una CL50 inferior o igual a 200 ml/m3 y con concentración de vapor saturado superior o igual a 500 CL50",6.1,4.3\n3,
3491,"LÍQUIDO TÓXICO POR INHALACIÓN, HIDRORREACTIVO, INFLAMABLE, N.E.P., con una CL50 inferior o igual a 1000 ml/m3 y con concentración de vapor saturado superior o igual a 10 CL50",6.1,4.3\n3,
3494,"PETRÓLEO BRUTO ÁCIDO, INFLAMABLE, TÓXICO",3,6.1,
3495,YODO,8,6.1,
3496,BATERÍAS DE NÍQUEL- HIDRURO METÁLICO,9,,
3497,HARINA DE KRILL,4.2,,
3498,MONOCLORURO DE YODO LÍQUIDO,8,,
3499,"CONDENSADOR ELÉCTRICO DE DOBLE CAPA (con una capacidad de almacenamiento de energía superior a 0,3 Wh)",9,,
3500,"PRODUCTO QUÍMICO A PRESIÓN, N.E.P.",2.2,,
3501,"PRODUCTO QUÍMICO A PRESIÓN, INFLAMABLE, N.E.P.",2.1,,
3502,"PRODUCTO QUÍMICO A PRESIÓN, TÓXICO, N.E.P.",2.2,6.1,
3503,"PRODUCTO QUÍMICO A PRESIÓN, CORROSIVO, N.E.P.",2.2,8,
3504,"PRODUCTO QUÍMICO A PRESIÓN, INFLAMABLE, TÓXICO, N.E.P.",2.1,6.1,
3505,"PRODUCTO QUÍMICO A PRESIÓN, INFLAMABLE, CORROSIVO, N.E.P.",2.1,8,
3506,MERCURIO CONTENIDO EN OBJETOS MANUFACTURADOS,8,6.1,
3507,"HEXAFLUORURO DE URANIO, MATERIALES RADIACTIVOS, BULTOS EXCEPTUADOS, menos de 0,1 kg por bulto, no fisionable o fisionable exceptuado",6.1,7\n8,
3508,"CONDENSADOR ASIMÉTRICO (con una capacidad de almacenamiento de energía superior a 0,3 Wh)",9,,
3509,"EMBALAJES/ENVASES DESECHADOS, VACÍOS, SIN LIMPIAR",9,,
3510,"GAS ADSORBIDO INFLAMABLE, N.E.P.",2.1,,
3511,"GAS ADSORBIDO, N.E.P.",2.2,,
3512,"GAS ADSORBIDO TÓXICO, N.E.P.",2.3,,
3513,"GAS ADSORBIDO COMBURENTE, N.E.P.",2.2,5.1,
3514,"GAS ADSORBIDO TÓXICO, INFLAMABLE, N.E.P.",2.3,2.1,
3515,"GAS ADSORBIDO TÓXICO, COMBURENTE, N.E.P.",2.3,5.1,
3516,"GAS ADSORBIDO TÓXICO, CORROSIVO, N.E.P.",2.3,8,
3517,"GAS ADSORBIDO TÓXICO, INFLAMABLE, CORROSIVO, N.E.P.",2.3,2.1\n8,
3518,"GAS ADSORBIDO TÓXICO, COMBURENTE, CORROSIVO, N.E.P.",2.3,5.1\n8,
3519,TRIFLUORURO DE BORO ADSORBIDO,2.3,8,
3520,CLORO ADSORBIDO,2.3,5.1\n8,
3521,TETRAFLUORURO DE SILICIO ADSORBIDO,2.3,8,
3522,ARSINA ADSORBIDA,2.3,2.1,
3523,GERMANO ADSORBIDO,2.3,2.1,
3524,PENTAFLUORURO DE FÓSFORO ADSORBIDO,2.3,8,
3525,FOSFANO ADSORBIDO,2.3,2.1,
3526,SELENIURO DE HIDRÓGENO ADSORBIDO,2.3,2.1,
3527,"BOLSA DE RESINA POLIESTÉRICA, material básico sólido",4.1,,
3528,MOTOR DE COMBUSTIÓN INTERNA PROPULSADO POR LÍQUIDO INFLAMABLE o MOTOR CON PILA DE COMBUSTIBLE PROPULSADO POR LÍQUIDO INFLAMABLE o MAQUINARIA DE COMBUSTIÓN INTERNA PROPULSADA POR LÍQUIDO INFLAMABLE o MAQUINARIA CON PILA DE COMBUSTIBLE PROPULSADA POR LÍQUIDO INFLAMABLE,3,,
3529,MOTOR DE COMBUSTIÓN INTERNA PROPULSADO POR GAS INFLAMABLE o MOTOR CON PILA DE COMBUSTIBLE PROPULSADO POR GAS INFLAMABLE o MAQUINARIA DE COMBUSTIÓN INTERNA PROPULSADA POR GAS INFLAMABLE o MAQUINARIA CON PILA DE COMBUSTIBLE PROPULSADA POR GAS INFLAMABLE,2.1,,
3530,MOTOR DE COMBUSTIÓN INTERNA o MAQUINARIA DE COMBUSTIÓN INTERNA,9,,
3531,"SUBSTANCIA POLIMERIZANTE, SÓLIDA, ESTABILIZADA, N.E.P.",4.1,,
3532,"SUBSTANCIA POLIMERIZANTE, LÍQUIDA, ESTABILIZADA, N.E.P.",4.1,,
3533,"SUBSTANCIA POLIMERIZANTE, SÓLIDA, CON TEMPERATURA REGULADA, N.E.P.",4.1,,
3534,"SUBSTANCIA POLIMERIZANTE, LÍQUIDA, CON TEMPERATURA REGULADA, N.E.P.",4.1,,
3535,"SÓLIDO TÓXICO, INFLAMABLE, INORGÁNICO, N.E.P.",6.1,4.1,
3536,BATERÍAS DE LITIO INSTALADAS EN LA UNIDAD DE TRANSPORTE baterías de ión litio o baterías de litio metálico,9,,
3537,"ARTÍCULOS QUE CONTIENEN GASES INFLAMABLES, N.E.P.",2.1,Véase(1),
3538,"ARTÍCULOS QUE CONTIENEN GASES NO INFLAMABLES, NO TÓXICOS, N.E.P.",2.2,Véase1,
3539,"ARTÍCULOS QUE CONTIENEN GASES TÓXICOS, N.E.P.",2.3,Véase1,
3540,"ARTÍCULOS QUE CONTIENEN LÍQUIDOS INFLAMABLES, N.E.P.",3,Véase1,
3541,"ARTÍCULOS QUE CONTIENEN SÓLIDOS INFLAMABLES, N.E.P.",4.1,Véase1,
3542,"ARTÍCULOS QUE CONTIENEN SUBSTANCIAS QUE PRESENTAN RIESGO DE COMBUSTIÓN ESPONTÁNEA, N.E.P.",4.2,Véase1,
3543,"ARTÍCULOS QUE CONTIENEN SUBSTANCIAS QUE DESPRENDEN GASES INFLAMABLES EN CONTACTO CON EL AGUA, N.E.P.",4.3,Véase1,
3544,"ARTÍCULOS QUE CONTIENEN SUBSTANCIAS COMBURENTES, N.E.P.",5.1,Véase1,
3545,"ARTÍCULOS QUE CONTIENEN PERÓXIDOS ORGÁNICOS, N.E.P.",5.2,Véase1,
3546,"ARTÍCULOS QUE CONTIENEN SUBSTANCIAS TÓXICAS, N.E.P.",6.1,Véase1,
3547,"ARTÍCULOS QUE CONTIENEN SUBSTANCIAS CORROSIVAS, N.E.P.",8,Véase1,
3548,"ARTÍCULOS QUE CONTIENEN MERCANCÍAS PELIGROSAS DIVERSAS, N.E.P.",9,Véase1,
3549,"DESECHOS MÉDICOS, DE CATEGORÍA A, QUE AFECTAN A LAS PERSONAS, sólidos o DESECHOS MÉDICOS DE CATEGORÍA A, QUE AFECTAN A LOS ANIMALES únicamente, sólidos",6.2,,
3550,"POLVO DE DIHIDRÓXIDO DE COBALTO, que contenga no menos del 10% de partículas respirables",6.1,,
